pp;age;gender;hasKids;s1a;s1b;r1;s2a;s2b;r2;s3a;s3b;r3;s4a;s4b;r4
199;26;female;yes;8;13;NA;9;2;8.64;6;14;8.75;11;3;8.45
200;45;male;yes;10;1;5.98;16;5;7.68;7;15;8.41;12;4;6.92
201;23;male;yes;5;16;NA;10;1;NA;12;4;7.52;15;7;NA
202;19;male;no;15;7;8.49;4;12;NA;5;16;1.55;10;1;6.7
203;19;male;no;6;14;NA;9;2;10;8;13;10;3;11;NA
204;45;female;yes;15;7;NA;16;5;1.21;4;12;8.12;1;10;9.15
205;22;female;no;6;14;NA;11;3;6.01;13;8;NA;2;9;10
206;23;male;no;5;16;10;7;15;NA;12;4;10;1;10;NA
207;37;female;yes;8;13;NA;2;9;NA;11;3;0.46;6;14;NA
208;33;male;yes;12;4;8.05;7;15;4.97;1;10;2.61;5;16;5.06
209;33;male;yes;9;2;3.69;3;11;5.2;14;6;0.53;13;8;6.59
210;37;male;no;8;13;NA;3;11;NA;9;2;NA;14;6;7.05
211;36;male;yes;14;6;4.98;9;2;9.89;8;13;9.87;3;11;9.94
212;21;female;no;16;5;1.67;1;10;8.77;12;4;9.01;15;7;1.07
213;21;female;yes;10;1;7.54;5;16;8.42;12;4;9.27;15;7;0.52
214;39;female;no;8;13;NA;6;14;7.77;9;2;NA;11;3;NA
215;34;female;yes;5;16;9.99;4;12;8.5;15;7;2.93;10;1;8.94
216;34;female;yes;5;16;9.99;4;12;8.5;15;7;2.93;10;1;8.94
217;37;female;yes;1;10;8.44;12;4;8.97;5;16;NA;15;7;NA
218;69;male;yes;9;2;9.97;3;11;0.15;6;14;9.94;8;13;9.96
219;18;male;no;9;2;9.02;3;11;1.04;14;6;7.19;13;8;7.77
220;29;female;no;4;12;7.92;1;10;0.61;16;5;9.49;7;15;0.34
221;23;male;no;8;13;NA;11;3;9.05;2;9;9.78;14;6;NA
222;29;female;yes;12;4;NA;10;1;3.3;15;7;3.99;16;5;NA
223;18;male;no;11;3;NA;2;9;NA;6;14;NA;13;8;NA
224;27;female;no;8;13;NA;2;9;NA;11;3;5.43;14;6;7.95
225;50;male;yes;7;15;2;5;16;0.04;4;12;7.47;1;10;0.04
226;28;male;no;5;16;7.32;12;4;NA;7;15;NA;1;10;1.98
227;22;male;no;8;13;NA;14;6;NA;9;2;7.53;11;3;9.73
228;33;male;no;3;11;NA;9;2;9.88;8;13;NA;6;14;NA
229;18;female;no;16;5;NA;12;4;9.81;1;10;9.67;15;7;9.55
230;25;male;no;1;10;0.11;15;7;5.03;4;12;0.08;16;5;4.97
231;37;male;yes;14;6;8.96;2;9;6.6;11;3;9.4;13;8;8.85
232;33;female;no;2;9;9.85;13;8;NA;11;3;4.95;14;6;9.43
233;24;male;yes;6;14;NA;11;3;NA;2;9;NA;13;8;NA
234;35;female;yes;2;9;5.71;3;11;NA;6;14;NA;13;8;8.19
235;19;male;no;12;4;0.03;10;1;10;16;5;10;15;7;6.46
236;45;male;yes;5;16;NA;4;12;NA;10;1;NA;15;7;NA
237;28;female;no;16;5;NA;12;4;6.62;15;7;NA;10;1;6.62
238;21;female;no;9;2;8.83;14;6;7.94;11;3;9.69;13;8;0
239;19;female;no;4;12;7.44;15;7;NA;5;16;NA;1;10;7.42
240;24;female;no;13;8;NA;3;11;3.37;14;6;6.54;9;2;9.69
241;21;male;no;15;7;9;10;1;6.17;5;16;0;4;12;0
242;20;male;no;14;6;NA;2;9;NA;8;13;NA;3;11;NA
243;23;male;yes;4;12;9.96;5;16;9.97;1;10;NA;7;15;9.82
244;39;female;yes;2;9;9.82;14;6;7.63;11;3;NA;13;8;9.47
245;45;male;yes;13;8;9.58;9;2;9.77;6;14;0.3;3;11;0.14
246;36;female;yes;7;15;0;5;16;7.77;1;10;8.99;12;4;9.47
247;34;male;no;11;3;7.46;6;14;NA;2;9;2.71;13;8;7.13
248;26;male;no;16;5;NA;4;12;NA;1;10;NA;7;15;7.07
249;27;male;no;13;8;10;9;2;9.96;6;14;10;3;11;NA
250;28;male;yes;1;10;7.69;5;16;7.41;15;7;8.28;12;4;8.09
251;36;female;yes;8;13;NA;14;6;3.74;9;2;5.4;3;11;4.56
252;36;female;yes;8;13;NA;14;6;3.74;9;2;5.4;3;11;4.56
253;47;female;yes;5;16;NA;4;12;NA;7;15;10;1;10;0
254;25;male;no;10;1;7.05;7;15;0;4;12;8.49;16;5;10
255;31;female;yes;14;6;8.89;11;3;NA;2;9;0.04;8;13;8.91
256;25;male;yes;2;9;5.06;3;11;5.66;14;6;NA;13;8;6.02
257;30;male;no;3;11;0.59;2;9;NA;14;6;0.64;13;8;0.41
258;38;female;no;9;2;7.49;13;8;NA;6;14;NA;11;3;9.87
259;22;male;no;16;5;8.99;1;10;4.96;7;15;3.97;12;4;7.46
260;28;male;no;12;4;6.48;7;15;1.98;16;5;6.86;1;10;2.04
261;28;male;yes;8;13;5.07;3;11;7.57;14;6;7.32;9;2;6.06
262;55;female;no;10;1;7.88;16;5;8.44;7;15;2.42;12;4;6.51
263;32;female;yes;15;7;8;16;5;7.67;12;4;NA;1;10;5.39
264;55;female;no;6;14;9.95;2;9;9.84;11;3;9.84;8;13;9.84
265;31;male;no;5;16;7.48;10;1;6.87;12;4;5.52;15;7;9.35
266;25;male;no;13;8;NA;2;9;NA;14;6;NA;3;11;7.26
267;61;female;yes;12;4;NA;15;7;6.89;10;1;9.86;16;5;NA
268;44;male;no;12;4;NA;15;7;NA;1;10;3.17;16;5;9.49
269;31;female;yes;16;5;5.06;15;7;4.97;1;10;5.1;12;4;5.04
270;57;male;yes;15;7;NA;1;10;1.74;12;4;8.21;5;16;NA
271;25;male;no;12;4;NA;5;16;NA;15;7;NA;1;10;NA
272;20;female;no;15;7;9.12;4;12;1.93;5;16;1.91;1;10;1.48
273;40;female;no;10;1;8.3;15;7;9.33;12;4;7.49;16;5;1.81
274;24;female;no;3;11;9.54;14;6;9.56;8;13;NA;9;2;9.75
275;22;female;yes;1;10;10;15;7;9.83;4;12;10;5;16;9.76
276;23;male;no;16;5;7.39;15;7;7.12;4;12;7.18;10;1;4.64
277;28;female;yes;3;11;NA;9;2;9.32;6;14;2.25;13;8;8.73
278;33;female;yes;6;14;NA;13;8;NA;9;2;10;3;11;9.98
279;32;female;yes;6;14;9.52;11;3;9.57;2;9;0.48;13;8;NA
280;36;male;no;5;16;1.28;15;7;9.44;1;10;9.79;12;4;9.42
281;25;male;no;10;1;9.96;7;15;NA;12;4;NA;5;16;NA
282;40;female;no;3;11;NA;14;6;NA;2;9;4.85;13;8;NA
283;37;male;yes;2;9;8.54;6;14;NA;11;3;8.71;8;13;9.87
284;31;female;no;9;2;1;6;14;1.97;13;8;1.79;3;11;1.84
285;33;female;no;7;15;NA;4;12;8;5;16;6.9;1;10;0.52
286;18;male;yes;13;8;NA;11;3;7.07;2;9;5.04;14;6;NA
287;26;male;no;6;14;4.9;2;9;5.06;11;3;4.94;13;8;5.11
288;35;female;yes;11;3;NA;8;13;NA;6;14;NA;9;2;NA
289;43;female;no;13;8;10;9;2;4.99;6;14;5.29;3;11;5.06
290;44;female;yes;6;14;NA;11;3;8.91;8;13;8.98;2;9;NA
291;30;male;no;4;12;7.86;5;16;10;15;7;6.95;10;1;10
292;28;female;yes;3;11;NA;2;9;5.35;6;14;9.46;8;13;9.56
293;57;female;yes;11;3;9.01;2;9;9.75;14;6;9.55;8;13;9.48
294;57;female;yes;13;8;9.89;11;3;9.48;14;6;7.84;2;9;9.12
295;19;male;no;13;8;6.95;11;3;NA;2;9;10;6;14;10
296;29;female;yes;11;3;NA;2;9;1.36;6;14;2;8;13;7.28
297;26;female;no;12;4;7.26;5;16;2.16;15;7;7.28;10;1;7.54
298;25;female;no;9;2;8.42;8;13;9.31;3;11;0;14;6;8.98
299;19;male;no;8;13;10;2;9;NA;6;14;NA;3;11;NA
300;23;male;no;2;9;NA;8;13;1.77;6;14;NA;11;3;NA
301;30;female;no;16;5;9.98;4;12;0;15;7;9.87;1;10;9.83
302;59;female;no;7;15;NA;16;5;NA;4;12;NA;1;10;NA
303;29;female;no;14;6;7.09;2;9;NA;8;13;NA;11;3;NA
304;36;female;no;4;12;7.65;7;15;0.11;16;5;9.83;1;10;0.15
305;20;female;no;12;4;10;10;1;10;16;5;7.39;7;15;2.47
306;39;male;no;1;10;6.95;12;4;7.11;5;16;2.02;7;15;2.09
307;67;female;yes;16;5;NA;15;7;NA;4;12;0.21;1;10;0.29
308;45;male;no;13;8;2.12;3;11;7.4;14;6;7.93;9;2;NA
309;59;female;no;10;1;9.87;16;5;9.62;12;4;9.75;15;7;NA
310;25;male;no;8;13;10;11;3;9.82;9;2;10;14;6;6.59
311;26;male;no;1;10;3.27;16;5;5.94;12;4;NA;7;15;NA
312;29;female;yes;5;16;6.96;7;15;NA;10;1;7.69;12;4;NA
313;20;female;no;2;9;NA;13;8;5.96;14;6;6.25;11;3;6.49
314;26;male;no;15;7;7.82;4;12;2.35;1;10;2.25;5;16;2.28
315;19;male;yes;4;12;2.53;5;16;0.03;7;15;6.05;1;10;4.17
316;41;male;no;10;1;NA;5;16;NA;15;7;NA;12;4;0.25
317;28;female;yes;11;3;NA;14;6;NA;2;9;1.97;13;8;NA
318;38;female;yes;14;6;10;9;2;NA;11;3;NA;8;13;4.77
319;21;male;no;5;16;NA;1;10;NA;4;12;NA;7;15;NA
320;25;male;no;8;13;NA;9;2;NA;11;3;NA;6;14;NA
321;18;male;no;12;4;10;7;15;2.56;5;16;8.49;10;1;9.89
322;23;female;no;8;13;6.64;3;11;NA;14;6;7.55;9;2;8.02
323;18;female;no;12;4;5.05;5;16;NA;1;10;2.64;15;7;NA
324;18;female;no;3;11;6.48;9;2;8;13;8;7.81;14;6;3.44
325;18;female;no;9;2;7.75;6;14;4.07;13;8;7.05;3;11;NA
326;22;female;yes;14;6;NA;8;13;5;3;11;NA;2;9;5.04
327;24;female;no;7;15;NA;4;12;5.03;5;16;NA;10;1;NA
328;21;female;no;14;6;4.98;11;3;NA;2;9;9.75;8;13;NA
329;35;male;yes;14;6;NA;13;8;NA;11;3;NA;2;9;NA
330;27;male;no;16;5;0.13;12;4;0.06;7;15;0.08;10;1;9.99
331;36;female;yes;12;4;NA;1;10;NA;7;15;NA;16;5;9.92
332;29;male;yes;4;12;3.71;15;7;7.14;16;5;7.96;1;10;2.25
333;44;female;yes;11;3;8.55;8;13;0.29;6;14;0.06;2;9;0.46
334;49;female;no;13;8;NA;3;11;NA;6;14;NA;2;9;7.67
335;40;male;yes;5;16;6.45;1;10;3.76;4;12;4.85;7;15;4.73
336;24;male;no;4;12;NA;10;1;NA;16;5;NA;7;15;NA
337;40;male;no;11;3;NA;2;9;NA;8;13;NA;14;6;5.92
338;33;female;yes;10;1;4.91;4;12;9.82;15;7;9.96;16;5;9.77
339;26;female;yes;16;5;NA;10;1;5.1;15;7;NA;4;12;4.96
340;25;male;yes;14;6;5.67;11;3;0.8;8;13;7.42;9;2;6.51
341;24;female;no;3;11;6.47;6;14;3.83;13;8;7.15;2;9;3.02
342;51;male;no;12;4;8.44;16;5;9.97;10;1;9.94;7;15;0.04
343;22;female;no;11;3;7.6;9;2;9.47;6;14;7.95;13;8;3.96
344;41;male;no;3;11;0;13;8;4.99;2;9;9.9;6;14;9.92
345;29;female;no;11;3;0;8;13;3.63;2;9;3.64;6;14;0.69
346;18;male;no;9;2;10;6;14;8.96;11;3;4.28;8;13;2.11
347;20;female;no;12;4;8.84;7;15;6.49;5;16;4.06;1;10;1.63
348;28;female;yes;15;7;NA;16;5;NA;4;12;9.89;1;10;9.97
349;60;male;yes;13;8;7.29;11;3;6.92;14;6;7.48;2;9;7.12
350;62;female;no;14;6;NA;9;2;NA;13;8;10;3;11;1.32
351;26;female;yes;15;7;7.53;16;5;8.98;1;10;5.01;12;4;7.02
352;21;male;no;15;7;NA;12;4;0;1;10;0;16;5;NA
353;20;male;no;15;7;7.56;10;1;2.19;4;12;6.56;16;5;2.47
354;21;male;no;10;1;9.97;5;16;2.49;15;7;7.1;12;4;9.94
355;22;male;no;7;15;NA;16;5;NA;1;10;NA;4;12;9.83
356;43;male;no;8;13;8.81;9;2;8.15;11;3;9.72;6;14;0.58
357;28;female;yes;5;16;8.75;10;1;8.07;12;4;8.91;7;15;7.72
358;31;male;yes;6;14;NA;9;2;NA;13;8;5.03;11;3;NA
359;52;male;yes;2;9;NA;6;14;9.85;8;13;9.96;11;3;9.68
360;24;male;yes;4;12;1.56;16;5;NA;15;7;1.42;10;1;8.57
361;30;male;no;14;6;NA;9;2;2.42;13;8;4.83;11;3;4.96
362;24;female;yes;16;5;NA;15;7;NA;1;10;9.75;12;4;5.01
363;35;male;no;5;16;0.6;12;4;8.12;15;7;7.56;1;10;4.97
364;59;female;yes;16;5;NA;10;1;7.67;7;15;NA;4;12;6.49
365;51;female;no;15;7;7.33;12;4;6.16;1;10;8.37;16;5;7.51
366;51;female;yes;8;13;2.25;14;6;6.88;2;9;4.97;11;3;1.35
367;27;female;yes;10;1;7.44;4;12;2.54;15;7;7.51;5;16;0.08
368;27;female;no;13;8;5.05;2;9;4.98;3;11;NA;14;6;5.07
369;43;female;yes;7;15;NA;12;4;NA;1;10;NA;16;5;NA
370;34;male;yes;13;8;NA;9;2;6.04;11;3;NA;6;14;5.97
371;24;male;no;1;10;6.58;7;15;NA;5;16;NA;4;12;5.55
372;41;male;no;5;16;NA;1;10;9.87;7;15;NA;4;12;5.01
373;19;male;no;13;8;8.8;3;11;NA;2;9;9.64;6;14;9.1
374;32;female;yes;7;15;6.55;10;1;9.76;4;12;NA;5;16;9.76
375;40;female;yes;7;15;0;1;10;0;5;16;0;12;4;10
376;20;male;no;16;5;NA;10;1;NA;12;4;NA;7;15;NA
377;25;female;no;4;12;NA;10;1;8.98;7;15;9.91;16;5;9.83
378;26;female;yes;3;11;NA;8;13;0.08;2;9;0.13;14;6;10
379;21;female;no;4;12;7.92;1;10;9.28;15;7;NA;5;16;9.82
380;24;male;no;9;2;NA;14;6;6.45;13;8;NA;3;11;4.05
381;29;female;no;7;15;NA;16;5;NA;10;1;9.2;4;12;8.4
382;20;male;no;4;12;NA;5;16;NA;15;7;NA;1;10;NA
383;26;male;yes;16;5;10;7;15;0.13;4;12;5.05;10;1;10
384;8;male;no;8;13;1.31;9;2;NA;6;14;1.39;3;11;NA
385;57;female;yes;5;16;9.31;1;10;9.4;7;15;9.78;4;12;9.26
386;32;male;no;11;3;10;13;8;NA;9;2;8.5;6;14;7.82
387;28;female;no;13;8;9.93;2;9;0.14;3;11;0.07;14;6;9.98
388;21;male;no;15;7;10;4;12;9.99;10;1;10;16;5;0
389;20;female;no;3;11;NA;13;8;NA;14;6;NA;2;9;NA
390;28;female;yes;16;5;NA;15;7;NA;4;12;2.16;10;1;8.37
391;31;male;yes;5;16;0;4;12;7.61;1;10;1.04;7;15;1.01
392;25;female;no;14;6;7.61;3;11;9.15;13;8;NA;9;2;5.01
393;18;male;no;4;12;3.82;15;7;8.33;10;1;6.69;5;16;4.99
394;22;male;no;7;15;8.57;1;10;0;16;5;5.01;4;12;0
395;24;male;no;8;13;2.02;14;6;8.91;9;2;9.29;11;3;9.24
396;34;female;no;5;16;NA;1;10;3.54;4;12;6.06;7;15;NA